,price,odometer,cylinders,price_per_mile
count,161.0,161.0,161.0,161.0
mean,4656.285714285715,123822.04968944099,4.509316770186335,4.955833397339976
std,2614.394739773843,58913.010356881394,0.8740567231475906,18.789228156801894
min,361.0,80.0,4.0,0.0038910505836575876
25%,2499.0,102767.0,4.0,0.018548387096774192
50%,3950.0,132572.0,4.0,0.03486895085968568
75%,6500.0,164213.0,6.0,0.06354810238305383
max,9995.0,271000.0,6.0,112.5
